OBJECTID,TRACT,GEOID,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,H0010001,H0010002,H0010003,ALAND,AWATER,STUSAB,SUMLEV,GEOCODE,STATE,NAME,POP100,HU100,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020003,P0020004,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030002,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040003,P0040004,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010,SHAPEAREA,SHAPELEN
11,000400,11001000400,1643,1498,1242,84,10,122,0,40,165,1214,82,0,122,0,12,1410,1060,76,10,110,0,28,153,1032,76,0,110,0,6,998,750,248,1541239,69,DC,140,11001000400,11,Census Tract 4,1643,998,145,133,7,5,12,0,97,3,3,0,5,0,0,0,1,0,0,11,1,2,0,3,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643,1478,1430,48,42,7,5,12,0,11,3,3,0,0,0,0,0,1,0,0,6,0,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1284,126,114,3,5,1,0,94,3,3,0,4,0,0,0,1,0,0,11,1,2,0,3,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1410,1257,1224,33,27,3,5,1,0,11,3,3,0,0,0,0,0,1,0,0,6,0,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,13,0,0,13,0,0
12,000501,11001000501,3829,3411,2716,236,13,319,0,127,451,2624,230,9,315,0,25,3470,2517,220,5,292,0,109,350,2448,214,3,292,0,20,2489,2247,242,940249,29503,DC,140,11001000501,11,Census Tract 5.01,3829,2489,418,384,45,15,76,0,228,4,2,0,8,0,0,5,0,1,0,33,4,3,0,9,0,0,11,0,0,0,0,0,4,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3829,3378,3203,175,170,43,14,76,0,31,4,2,0,0,0,0,0,0,0,0,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3143,327,302,42,15,49,0,181,4,1,0,5,0,0,4,0,1,0,24,3,2,0,9,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3470,3120,2977,143,139,40,14,49,0,31,4,1,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,37,19,0,18,0,0
13,000502,11001000502,3418,3041,2617,118,5,221,1,79,365,2528,105,0,217,0,20,2972,2302,110,5,208,1,67,289,2229,100,0,208,0,11,1881,1760,121,581507,0,DC,140,11001000502,11,Census Tract 5.02,3418,1881,377,358,33,15,77,1,214,5,4,0,6,0,1,0,0,2,0,14,0,0,0,0,0,0,12,1,1,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3418,3053,2870,183,179,33,11,73,1,49,3,4,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2693,279,260,22,11,42,1,169,2,4,0,6,0,1,0,0,2,0,14,0,0,0,0,0,0,12,1,1,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2972,2683,2548,135,131,22,11,42,1,46,0,4,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,000600,11001000600,4676,4208,3573,237,5,270,0,123,394,3492,226,5,268,0,31,3848,2991,199,5,245,0,104,298,2933,193,5,243,0,26,2435,2249,186,1441865,71,DC,140,11001000600,11,Census Tract 6,4676,2435,468,447,61,25,102,1,242,4,2,0,7,1,0,1,0,1,0,19,5,2,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4676,4282,4022,260,252,58,21,98,1,65,4,2,0,2,1,0,0,0,0,0,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3544,304,291,38,25,39,0,179,4,2,0,2,1,0,1,0,0,0,11,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3848,3550,3400,150,149,35,21,35,0,49,4,2,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,000702,11001000702,3452,3031,2195,280,17,417,1,121,445,2079,276,3,413,1,27,3175,2066,252,17,387,0,107,392,1968,248,3,385,0,18,2472,2265,207,308967,0,DC,140,11001000702,11,Census Tract 7.02,3452,2472,421,384,48,16,63,1,221,8,5,0,21,0,0,0,1,0,0,28,8,2,0,5,0,0,7,1,3,0,0,1,1,0,0,0,0,0,0,0,7,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3452,3007,2799,208,192,45,10,62,0,47,7,5,0,15,0,0,0,1,0,0,12,5,1,0,2,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2829,346,319,35,16,51,1,196,6,5,0,8,0,0,0,1,0,0,21,6,2,0,5,0,0,5,1,1,0,0,0,1,0,0,0,0,0,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3175,2783,2622,161,150,33,10,50,0,41,5,5,0,5,0,0,0,1,0,0,9,3,1,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,000703,11001000703,3022,2728,2182,248,1,230,0,67,285,2119,246,0,229,0,27,2742,2033,210,1,195,0,59,253,1976,210,0,194,0,20,2136,1954,182,232137,0,DC,140,11001000703,11,Census Tract 7.03,3022,2136,294,267,30,13,29,2,169,1,5,0,7,2,0,1,2,4,2,24,4,3,0,7,0,1,3,0,2,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,3022,2737,2621,116,98,28,9,25,2,16,1,5,0,5,2,0,0,1,4,0,15,3,2,0,3,0,1,0,0,2,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,2498,244,228,26,13,20,2,149,1,4,0,7,2,0,0,2,0,2,15,4,1,0,5,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2742,2489,2400,89,82,24,9,19,2,15,1,4,0,5,2,0,0,1,0,0,6,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,000704,11001000704,2753,2420,1772,249,16,238,0,145,423,1699,234,3,238,0,27,2430,1601,224,16,210,0,117,365,1532,209,3,210,0,13,1724,1554,170,332346,0,DC,140,11001000704,11,Census Tract 7.04,2753,1724,333,308,12,11,61,14,188,2,5,0,6,0,0,4,0,4,1,23,5,0,2,0,0,0,8,5,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2753,2330,2201,129,118,10,8,61,10,20,0,5,0,2,0,0,0,0,2,0,11,2,0,2,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2168,262,242,6,9,39,9,161,0,5,0,5,0,0,3,0,4,1,18,4,0,2,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430,2065,1967,98,89,6,8,39,9,18,0,5,0,2,0,0,0,0,2,0,9,2,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,000802,11001000802,3327,2938,2245,226,8,386,8,65,330,2178,208,0,386,3,25,2669,1836,181,8,321,7,59,237,1790,176,0,321,3,24,1541,1427,114,1688582,669985,DC,140,11001000802,11,Census Tract 8.02,3327,1541,389,367,44,9,84,0,207,3,2,0,12,0,0,4,2,0,0,21,4,0,0,7,0,0,6,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3327,2997,2800,197,188,44,8,84,0,40,2,2,0,6,0,0,0,2,0,0,8,4,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2412,257,237,24,6,44,0,146,2,0,0,10,0,0,4,1,0,0,19,4,0,0,7,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2669,2432,2314,118,110,24,6,44,0,27,2,0,0,6,0,0,0,1,0,0,7,4,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,000803,11001000803,3174,2770,2251,168,1,274,1,75,391,2169,168,0,274,0,9,2864,2063,153,0,254,1,65,328,1985,153,0,254,0,9,1692,1512,180,308153,0,DC,140,11001000803,11,Census Tract 8.03,3174,1692,404,388,34,10,75,0,256,0,5,0,4,0,0,1,0,3,0,13,3,2,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3174,2783,2620,163,159,34,9,72,0,34,0,5,0,2,0,0,0,0,3,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2536,328,320,30,7,54,0,217,0,5,0,4,0,0,0,0,3,0,6,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2864,2536,2401,135,131,30,7,51,0,33,0,5,0,2,0,0,0,0,3,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,0,0,0,0,0,550,550,0,0,0,0
20,000804,11001000804,3832,3454,2854,201,8,322,3,66,294,2774,197,0,322,3,23,3035,2269,174,7,290,3,60,233,2201,172,0,290,3,17,1347,1270,77,2566768,167978,DC,140,11001000804,11,Census Tract 8.04,3832,1347,378,362,10,11,134,0,191,0,7,1,8,0,0,0,0,0,0,13,0,0,0,6,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3832,3538,3319,219,208,10,11,127,0,46,0,7,1,6,0,0,0,0,0,0,9,0,0,0,4,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2803,232,220,6,4,56,0,143,0,2,1,8,0,0,0,0,0,0,10,0,0,0,4,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3035,2802,2683,119,109,6,4,56,0,34,0,2,1,6,0,0,0,0,0,0,8,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,0,0,0,0,0,620,609,0,11,0,0
21,000902,11001000902,2317,2086,1860,76,7,93,0,50,173,1826,76,6,93,0,28,1731,1407,61,7,82,0,40,112,1388,61,6,82,0,22,894,839,55,1867106,307257,DC,140,11001000902,11,Census Tract 9.02,2317,894,231,213,15,10,65,0,110,6,2,0,4,0,0,0,1,0,0,14,4,2,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2317,2144,2029,115,105,15,10,60,0,13,3,2,0,1,0,0,0,1,0,0,7,2,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1597,134,118,3,10,26,0,66,6,2,0,4,0,0,0,1,0,0,13,3,2,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1731,1619,1559,60,50,3,10,21,0,9,3,2,0,1,0,0,0,1,0,0,7,2,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,000903,11001000903,4202,3916,2589,426,2,672,0,227,583,2416,415,0,671,0,5,3953,2394,419,1,667,0,226,549,2230,415,0,666,0,5,484,442,42,928101,0,DC,140,11001000903,11,Census Tract 9.03,4202,484,286,281,20,1,57,7,171,1,17,0,2,0,0,2,0,3,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4202,3619,3507,112,107,15,0,57,5,12,1,17,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3707,246,243,20,1,40,7,152,1,17,0,0,0,0,2,0,3,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3953,3404,3316,88,85,15,0,40,5,7,1,17,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2976,0,0,0,0,0,2976,2976,0,0,0,0
23,000904,11001000904,3148,2837,2545,131,4,127,0,30,187,2509,131,2,126,0,22,2405,1964,107,2,111,0,22,146,1935,107,2,110,0,14,1216,1168,48,2024710,75151,DC,140,11001000904,11,Census Tract 9.04,3148,1216,311,302,28,9,74,3,183,3,0,0,0,0,0,1,0,1,0,9,2,1,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3148,2961,2790,171,164,27,9,73,3,51,0,0,0,0,0,0,0,0,1,0,7,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2206,199,190,15,9,27,3,134,1,0,0,0,0,0,0,0,1,0,9,2,1,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2405,2259,2168,91,84,14,9,27,3,30,0,0,0,0,0,0,0,0,1,0,7,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,18,0,0,18,0,0
24,001002,11001001002,3643,3276,2450,349,18,372,0,87,336,2374,344,7,369,0,23,3218,2219,312,15,337,0,76,270,2157,307,6,334,0,21,2544,2198,346,889722,0,DC,140,11001001002,11,Census Tract 10.02,3643,2544,367,345,48,13,76,0,190,4,6,0,4,0,0,2,0,2,0,15,4,1,0,1,2,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,6,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3643,3307,3117,190,180,46,11,74,0,35,4,6,0,1,0,0,1,0,2,0,10,4,1,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2959,259,247,27,13,45,0,148,4,4,0,4,0,0,0,0,2,0,8,2,1,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3218,2948,2825,123,118,26,11,45,0,25,4,4,0,1,0,0,0,0,2,0,5,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,001003,11001001003,3111,2753,2503,85,3,130,1,31,240,2443,78,0,130,1,12,2257,1885,63,3,111,1,24,140,1849,63,0,111,1,8,1129,1107,22,982460,0,DC,140,11001001003,11,Census Tract 10.03,3111,1129,358,330,26,14,107,0,178,1,1,0,3,0,0,0,0,0,0,24,0,1,0,8,0,0,7,0,5,0,0,0,0,1,2,0,0,0,0,0,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3111,2871,2664,207,195,26,12,107,0,47,1,1,0,1,0,0,0,0,0,0,8,0,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2087,170,152,6,11,36,0,96,0,1,0,2,0,0,0,0,0,0,17,0,1,0,8,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2257,2117,2032,85,76,6,9,36,0,23,0,1,0,1,0,0,0,0,0,0,8,0,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,13,0,0,13,0,0
26,001004,11001001004,4480,3947,3331,231,2,325,2,56,420,3222,228,1,323,1,15,3529,2648,200,1,290,2,53,315,2575,197,1,288,1,15,1810,1718,92,1471925,0,DC,140,11001001004,11,Census Tract 10.04,4480,1810,533,494,46,17,118,7,278,3,7,1,10,0,0,0,2,5,0,35,0,8,0,10,2,0,7,1,3,0,0,0,1,1,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4480,4060,3790,270,255,44,11,118,7,58,3,7,1,4,0,0,0,2,0,0,15,0,4,0,4,2,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3194,335,305,22,17,32,7,211,3,4,0,4,0,0,0,2,3,0,26,0,5,0,8,2,0,7,1,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3529,3214,3077,137,128,22,11,32,7,43,3,4,0,4,0,0,0,2,0,0,9,0,3,0,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,268,266,0,2,0,0
27,001100,11001001100,5300,4734,3822,391,4,401,5,111,451,3707,386,0,398,2,45,4281,3129,355,4,341,5,87,334,3048,352,0,339,2,28,2414,2201,213,1676650,0,DC,140,11001001100,11,Census Tract 11,5300,2414,566,515,69,25,130,0,262,0,13,3,7,2,0,4,0,0,0,47,10,4,0,5,4,0,14,2,5,0,0,3,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5300,4849,4538,311,285,59,22,130,0,52,0,13,3,4,2,0,0,0,0,0,26,10,4,0,3,4,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3921,360,325,44,19,58,0,183,0,13,3,0,1,0,4,0,0,0,31,8,0,0,2,4,0,12,2,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4281,3947,3769,178,161,34,19,58,0,33,0,13,3,0,1,0,0,0,0,0,17,8,0,0,0,4,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,80,0,0,80,0,180,179,0,1,0,0
28,001200,11001001200,5371,4783,3829,413,13,386,2,140,535,3722,402,4,379,2,25,4377,3162,343,13,334,2,111,415,3081,337,4,327,2,18,2672,2569,103,1219204,0,DC,140,11001001200,11,Census Tract 12,5371,2672,588,532,58,16,121,6,295,0,7,0,24,0,0,0,0,5,0,51,11,6,0,18,0,0,11,0,4,0,0,0,1,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5371,4836,4534,302,276,53,12,120,6,62,0,7,0,11,0,0,0,0,5,0,24,11,6,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3965,412,369,37,15,60,4,222,0,6,0,21,0,0,0,0,4,0,39,10,4,0,14,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4377,3962,3769,193,173,32,12,60,4,46,0,6,0,9,0,0,0,0,4,0,19,10,4,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,13,0,0,13,0,0
