OBJECTID,TRACT,TRACTCE10,GEOID10,NAME10,NAMELSAD10,ACRES_TOTAL,WATER,SHAPE_Length,SHAPE_Area
131,26400,026400,53033026400,264,Census Tract 264,15.90625081,0,5973.48437266712,692876.285179732
132,26500,026500,53033026500,265,Census Tract 265,100.50193079,0,11040.2901657048,4377864.10538389
133,11002,011002,53033011002,110.02,Census Tract 110.02,414.16755798,0,22942.9362430166,18041138.8254765
134,11001,011001,53033011001,110.01,Census Tract 110.01,264.58812219,0,16587.989208922,11525458.602636
135,11102,011102,53033011102,111.02,Census Tract 111.02,320.70770103,0,20411.1689646969,13970027.4567972
136,11101,011101,53033011101,111.01,Census Tract 111.01,284.25593024,0,15560.3341363146,12382188.3212453
137,10200,010200,53033010200,102,Census Tract 102,688.64247666,0,34014.9634474595,29997266.2831178
138,10300,010300,53033010300,103,Census Tract 103,410.24494011,0,19550.4206041243,17870269.5912718
139,10401,010401,53033010401,104.01,Census Tract 104.01,399.52657384,0,17272.8099728438,17403377.5564738
140,10402,010402,53033010402,104.02,Census Tract 104.02,444.50588817,0,20320.4862007994,19362676.4887992
141,9300,009300,53033009300,93,Census Tract 93,2341.80655738,0,53536.2778314404,102009093.639495
142,10001,010001,53033010001,100.01,Census Tract 100.01,571.8336739,0,25228.68070737,24909074.8350176
143,10100,010100,53033010100,101,Census Tract 101,616.50903838,0,26431.9276059889,26855133.7118933
144,9500,009500,53033009500,95,Census Tract 95,629.16234408,0,30363.8884672654,27406311.7079922
145,10002,010002,53033010002,100.02,Census Tract 100.02,234.3109908,0,14049.2910188845,10206586.7592629
146,9400,009400,53033009400,94,Census Tract 94,425.76556057,0,19268.3852562003,18546347.8185206
147,8900,008900,53033008900,89,Census Tract 89,314.30114156,0,19330.3976072001,13690957.7263136
148,9000,009000,53033009000,90,Census Tract 90,202.79941598,0,13601.1893800814,8833942.5601588
149,9100,009100,53033009100,91,Census Tract 91,103.49174734,0,10577.2433790972,4508100.51432887
153,12100,012100,53033012100,121,Census Tract 121,422.2941128,0,25850.3223607035,18395131.5533861
154,12000,012000,53033012000,120,Census Tract 120,357.68454201,0,17328.0300800889,15580738.6500388
155,11402,011402,53033011402,114.02,Census Tract 114.02,293.09567789,0,17329.7364208416,12767247.7290391
156,11600,011600,53033011600,116,Census Tract 116,769.56875538,0,31928.9021557164,33522414.9845606
157,11300,011300,53033011300,113,Census Tract 113,790.59093958,0,26299.4479606126,34438141.3281342
158,11500,011500,53033011500,115,Census Tract 115,380.13436072,0,19887.3089363247,16558652.7528892
159,11401,011401,53033011401,114.01,Census Tract 114.01,304.7141776,0,17478.0591080378,13273349.5763511
160,10800,010800,53033010800,108,Census Tract 108,1000.66749921,0,37967.9949837691,43589076.2653937
161,10701,010701,53033010701,107.01,Census Tract 107.01,359.89033058,0,21916.754549041,15676822.799857
162,10600,010600,53033010600,106,Census Tract 106,624.10897718,0,29931.0495374852,27186187.045756
163,10702,010702,53033010702,107.02,Census Tract 107.02,193.9028761,0,15550.3196613014,8446409.28275329
164,10500,010500,53033010500,105,Census Tract 105,424.49720058,0,19150.9737793408,18491098.0571421
165,9900,009900,53033009900,99,Census Tract 99,1612.58200155,0,64638.7574652728,70244071.9876864
167,9702,009702,53033009702,97.02,Census Tract 97.02,548.3270524,0,28387.5152084928,23885126.4027095
168,9701,009701,53033009701,97.01,Census Tract 97.01,442.86378251,0,29764.5675626062,19291146.3660631
169,9800,009800,53033009800,98,Census Tract 98,477.0565525,0,19647.3666991524,20780583.42673
170,9600,009600,53033009600,96,Census Tract 96,452.88800862,0,20839.4472978477,19727801.6556613
171,8001,008001,53033008001,80.01,Census Tract 80.01,120.23497868,0,19254.6338660012,5237435.67129053
172,8002,008002,53033008002,80.02,Census Tract 80.02,56.59967958,0,8018.58561793979,2465482.04270394
173,7200,007200,53033007200,72,Census Tract 72,249.63248924,0,16545.7372025582,10873991.231133
174,7100,007100,53033007100,71,Census Tract 71,213.01798353,0,16344.7763167696,9279063.36277859
175,5802,005802,53033005802,58.02,Census Tract 58.02,763.62463994,0,51391.7584449882,33263489.3157605
176,7000,007000,53033007000,70,Census Tract 70,199.14708252,0,13390.0220571202,8674846.91446094
177,6900,006900,53033006900,69,Census Tract 69,223.09765751,0,15642.2151332135,9718133.96111181
178,26001,026001,53033026001,260.01,Census Tract 260.01,14.99976991,0,8005.85906932415,653389.977306836
179,500,000500,53033000500,5,Census Tract 5,691.43877239,0,26774.4064985703,30119072.9255016
184,10900,010900,53033010900,109,Census Tract 109,1189.38010995,0,45137.3899078745,51809397.5893977
186,11200,011200,53033011200,112,Census Tract 112,681.68077275,0,30944.1087589283,29694014.4610282
187,11900,011900,53033011900,119,Census Tract 119,773.47807865,0,41622.0569798217,33692705.1058968
