,DP02_0001E,DP02_0152E,DP02_0152PE,DP02_0153E,DP02_0153PE,DP03_0062E,DP03_0062PE,DP03_0119E,DP03_0119PE,DP05_0001E,DP05_0071E,DP05_0071PE,DP05_0078E,DP05_0078PE,state,county,tract
798,2271,2080,91.6,1809,79.7,63575,-888888888,-888888888,11.3,5977,1770,29.6,199,3.3,17,031,802402
799,1985,1936,97.5,1859,93.7,113750,-888888888,-888888888,0.9,5444,939,17.2,62,1.1,17,031,803010
800,1697,1635,96.3,1526,89.9,80764,-888888888,-888888888,3.6,4540,1177,25.9,1487,32.8,17,031,818200
801,1790,1612,90.1,1493,83.4,92031,-888888888,-888888888,2.6,4333,629,14.5,157,3.6,17,031,818900
802,567,488,86.1,415,73.2,39544,-888888888,-888888888,35.6,1585,88,5.6,1291,81.5,17,031,280400
803,864,668,77.3,583,67.5,34861,-888888888,-888888888,35.1,2506,261,10.4,2151,85.8,17,031,292200
804,1950,1919,98.4,1803,92.5,95688,-888888888,-888888888,1.6,4169,469,11.2,126,3.0,17,031,030800
805,1131,889,78.6,724,64.0,33290,-888888888,-888888888,24.9,3336,5,0.1,3206,96.1,17,031,491400
806,1049,972,92.7,897,85.5,48224,-888888888,-888888888,1.6,2624,1605,61.2,114,4.3,17,031,550200
807,1480,1026,69.3,886,59.9,22561,-888888888,-888888888,24.5,4074,710,17.4,3167,77.7,17,031,827400
808,2046,1942,94.9,1898,92.8,162616,-888888888,-888888888,1.9,5914,347,5.9,18,0.3,17,031,050500
809,1751,1415,80.8,1210,69.1,35194,-888888888,-888888888,25.9,6379,6047,94.8,67,1.1,17,031,630400
810,417,326,78.2,303,72.7,22395,-888888888,-888888888,20.6,1087,155,14.3,836,76.9,17,031,670300
811,1042,702,67.4,532,51.1,17118,-888888888,-888888888,43.9,2793,32,1.1,2655,95.1,17,031,681000
812,1752,1472,84.0,1034,59.0,25288,-888888888,-888888888,23.6,4335,95,2.2,4119,95.0,17,031,710200
813,2811,2593,92.2,2451,87.2,82196,-888888888,-888888888,0.8,6924,856,12.4,125,1.8,17,031,770300
814,2033,1898,93.4,1829,90.0,106838,-888888888,-888888888,0.0,4909,379,7.7,75,1.5,17,031,803007
815,1150,1037,90.2,859,74.7,53611,-888888888,-888888888,7.2,4254,3289,77.3,154,3.6,17,031,816402
816,787,630,80.1,525,66.7,16607,-888888888,-888888888,56.9,1841,104,5.6,1613,87.6,17,031,351400
817,460,338,73.5,240,52.2,19911,-888888888,-888888888,12.6,1126,25,2.2,1064,94.5,17,031,421200
818,655,583,89.0,541,82.6,39234,-888888888,-888888888,18.2,1931,89,4.6,1648,85.3,17,031,491200
819,1372,1179,85.9,1077,78.5,82900,-888888888,-888888888,8.6,3877,471,12.1,92,2.4,17,031,805401
820,1525,1496,98.1,1404,92.1,44896,-888888888,-888888888,12.3,2432,69,2.8,894,36.8,17,031,350100
821,1097,1061,96.7,1031,94.0,172850,-888888888,-888888888,0.0,2982,252,8.5,7,0.2,17,031,062700
822,2808,2571,91.6,2240,79.8,51429,-888888888,-888888888,18.7,9148,6033,65.9,111,1.2,17,031,803606
823,2228,2163,97.1,2099,94.2,136094,-888888888,-888888888,1.0,5512,126,2.3,15,0.3,17,031,801605
824,369,327,88.6,308,83.5,27277,-888888888,-888888888,41.0,1113,270,24.3,842,75.7,17,031,670700
825,1265,1181,93.4,1155,91.3,79338,-888888888,-888888888,5.1,3541,885,25.0,14,0.4,17,031,806600
826,1259,1171,93.0,1038,82.4,73464,-888888888,-888888888,3.8,3588,470,13.1,31,0.9,17,031,823102
827,2908,2708,93.1,2672,91.9,112944,-888888888,-888888888,2.3,7220,369,5.1,134,1.9,17,031,820101
828,1469,1221,83.1,1173,79.9,48091,-888888888,-888888888,6.4,2992,11,0.4,2827,94.5,17,031,821402
829,1582,1471,93.0,1307,82.6,65486,-888888888,-888888888,9.3,4309,750,17.4,246,5.7,17,031,822101
830,2385,1875,78.6,1590,66.7,51450,-888888888,-888888888,5.9,6064,1749,28.8,1355,22.3,17,031,823304
831,1700,1535,90.3,1392,81.9,65682,-888888888,-888888888,10.4,4153,387,9.3,190,4.6,17,031,824507
832,2445,2221,90.8,2061,84.3,38281,-888888888,-888888888,15.9,7846,4237,54.0,2053,26.2,17,031,824800
833,1157,972,84.0,914,79.0,41090,-888888888,-888888888,12.3,3395,750,22.1,2154,63.4,17,031,824900
834,2281,2010,88.1,1867,81.9,63606,-888888888,-888888888,7.6,5269,558,10.6,203,3.9,17,031,825400
835,1995,1673,83.9,1552,77.8,56976,-888888888,-888888888,8.1,5626,39,0.7,5020,89.2,17,031,825501
836,2379,2238,94.1,2113,88.8,56250,-888888888,-888888888,11.6,6283,4,0.1,5247,83.5,17,031,825503
837,1834,1640,89.4,1524,83.1,56509,-888888888,-888888888,9.4,5878,25,0.4,5418,92.2,17,031,825505
838,2069,1924,93.0,1800,87.0,39852,-888888888,-888888888,31.4,5761,1235,21.4,3644,63.3,17,031,826202
839,1305,1120,85.8,760,58.2,40417,-888888888,-888888888,17.8,3509,683,19.5,2656,75.7,17,031,817500
840,1671,1430,85.6,1326,79.4,65510,-888888888,-888888888,7.7,5156,863,16.7,4113,79.8,17,031,817700
841,2267,1937,85.4,1707,75.3,53118,-888888888,-888888888,3.9,5756,499,8.7,4466,77.6,17,031,817900
842,1479,1319,89.2,1088,73.6,45457,-888888888,-888888888,16.4,3881,383,9.9,3291,84.8,17,031,821401
843,777,659,84.8,574,73.9,43594,-888888888,-888888888,26.1,3035,2326,76.6,401,13.2,17,031,300600
844,561,503,89.7,463,82.5,57774,-888888888,-888888888,19.9,1514,967,63.9,37,2.4,17,031,310700
845,0,0,-666666666.0,0,-666666666.0,-666666666,-888888888,-888888888,-666666666.0,0,0,-666666666.0,0,-666666666.0,17,031,381700
846,675,621,92.0,618,91.6,80234,-888888888,-888888888,8.9,1626,22,1.4,1252,77.0,17,031,390100
847,427,335,78.5,320,74.9,43250,-888888888,-888888888,10.1,1330,17,1.3,1218,91.6,17,031,380700
848,946,786,83.1,738,78.0,37059,-888888888,-888888888,19.4,1852,15,0.8,1687,91.1,17,031,381200
849,856,840,98.1,810,94.6,87500,-888888888,-888888888,1.7,2143,32,1.5,1446,67.5,17,031,390200
